State,Bachelor Degrees
Alabama,529178
Alaska,88058
Arizona,869452
Arkansas,297250
California,5603047
Colorado,981017
Delaware,124632
District of Columbia,122380
Connecticut,541380
Florida,2827938
Georgia,1324801
Idaho,207179
Hawaii,215777
Illinois,1831438
Indiana,749078
Iowa,403801
Kansas,400938
Kentucky,428846
Louisiana,490514
Maine,194761
Maryland,891511
Massachusetts,1151870
Michigan,1207829
Minnesota,892893
Mississippi,269736
Missouri,745843
Montana,155230
Nebraska,262614
Nevada,330222
New Hampshire,218013
New Jersey,1489653
New Mexico,215662
New York,2799878
North Carolina,1395214
North Dakota,107938
Ohio,1401609
Oklahoma,436601
Oregon,603359
Pennsylvania,1701365
Rhode Island,150150
South Carolina,614156
South Dakota,113870
Tennessee,789448
Texas,3534714
Vermont,99016
Utah,410803
Virginia,1272608
Washington,1144545
West Virginia,159196
Wisconsin,780824
Wyoming,68269
