State,Median Home Value
California,635055
Texas,228255
New York,353068
Florida,273094
Illinois,223455
Pennsylvania,217984
Ohio,170492
Michigan,196088
Georgia,228599
North Carolina,231166
New Jersey,382096
Virginia,311877
Washington,478015
Massachusetts,481088
Indiana,174901
Arizona,319888
Tennessee,212236
Missouri,183031
Maryland,346091
Wisconsin,216861
Minnesota,285690
Colorado,449182
Alabama,161377
South Carolina,210727
Louisiana,180661
Kentucky,162358
Oregon,409182
Oklahoma,143173
Connecticut,294046
Iowa,161290
Mississippi,135743
Arkansas,142225
Kansas,169388
Utah,408466
Nevada,338426
New Mexico,232164
West Virginia,113578
Nebraska,195635
Idaho,359546
Hawaii,689945
Maine,280437
New Hampshire,338281
Rhode Island,344836
Montana,328826
Delaware,285750
South Dakota,230530
Alaska,288234
North Dakota,240841
Vermont,279119
District of Columbia,672887
Wyoming,263166
