State,1_31_1996,2_29_1996,3_31_1996,4_30_1996,5_31_1996,6_30_1996,7_31_1996,8_31_1996,9_30_1996,10_31_1996,11_30_1996,12_31_1996,1_31_1997,2_28_1997,3_31_1997,4_30_1997,5_31_1997,6_30_1997,7_31_1997,8_31_1997,9_30_1997,10_31_1997,11_30_1997,12_31_1997,1_31_1998,2_28_1998,3_31_1998,4_30_1998,5_31_1998,6_30_1998,7_31_1998,8_31_1998,9_30_1998,10_31_1998,11_30_1998,12_31_1998,1_31_1999,2_28_1999,3_31_1999,4_30_1999,5_31_1999,6_30_1999,7_31_1999,8_31_1999,9_30_1999,10_31_1999,11_30_1999,12_31_1999,1_31_2000,2_29_2000,3_31_2000,4_30_2000,5_31_2000,6_30_2000,7_31_2000,8_31_2000,9_30_2000,10_31_2000,11_30_2000,12_31_2000,1_31_2001,2_28_2001,3_31_2001,4_30_2001,5_31_2001,6_30_2001,7_31_2001,8_31_2001,9_30_2001,10_31_2001,11_30_2001,12_31_2001,1_31_2002,2_28_2002,3_31_2002,4_30_2002,5_31_2002,6_30_2002,7_31_2002,8_31_2002,9_30_2002,10_31_2002,11_30_2002,12_31_2002,1_31_2003,2_28_2003,3_31_2003,4_30_2003,5_31_2003,6_30_2003,7_31_2003,8_31_2003,9_30_2003,10_31_2003,11_30_2003,12_31_2003,1_31_2004,2_29_2004,3_31_2004,4_30_2004,5_31_2004,6_30_2004,7_31_2004,8_31_2004,9_30_2004,10_31_2004,11_30_2004,12_31_2004,1_31_2005,2_28_2005,3_31_2005,4_30_2005,5_31_2005,6_30_2005,7_31_2005,8_31_2005,9_30_2005,10_31_2005,11_30_2005,12_31_2005,1_31_2006,2_28_2006,3_31_2006,4_30_2006,5_31_2006,6_30_2006,7_31_2006,8_31_2006,9_30_2006,10_31_2006,11_30_2006,12_31_2006,1_31_2007,2_28_2007,3_31_2007,4_30_2007,5_31_2007,6_30_2007,7_31_2007,8_31_2007,9_30_2007,10_31_2007,11_30_2007,12_31_2007,1_31_2008,2_29_2008,3_31_2008,4_30_2008,5_31_2008,6_30_2008,7_31_2008,8_31_2008,9_30_2008,10_31_2008,11_30_2008,12_31_2008,1_31_2009,2_28_2009,3_31_2009,4_30_2009,5_31_2009,6_30_2009,7_31_2009,8_31_2009,9_30_2009,10_31_2009,11_30_2009,12_31_2009,1_31_2010,2_28_2010,3_31_2010,4_30_2010,5_31_2010,6_30_2010,7_31_2010,8_31_2010,9_30_2010,10_31_2010,11_30_2010,12_31_2010,1_31_2011,2_28_2011,3_31_2011,4_30_2011,5_31_2011,6_30_2011,7_31_2011,8_31_2011,9_30_2011,10_31_2011,11_30_2011,12_31_2011,1_31_2012,2_29_2012,3_31_2012,4_30_2012,5_31_2012,6_30_2012,7_31_2012,8_31_2012,9_30_2012,10_31_2012,11_30_2012,12_31_2012,1_31_2013,2_28_2013,3_31_2013,4_30_2013,5_31_2013,6_30_2013,7_31_2013,8_31_2013,9_30_2013,10_31_2013,11_30_2013,12_31_2013,1_31_2014,2_28_2014,3_31_2014,4_30_2014,5_31_2014,6_30_2014,7_31_2014,8_31_2014,9_30_2014,10_31_2014,11_30_2014,12_31_2014,1_31_2015,2_28_2015,3_31_2015,4_30_2015,5_31_2015,6_30_2015,7_31_2015,8_31_2015,9_30_2015,10_31_2015,11_30_2015,12_31_2015,1_31_2016,2_29_2016,3_31_2016,4_30_2016,5_31_2016,6_30_2016,7_31_2016,8_31_2016,9_30_2016,10_31_2016,11_30_2016,12_31_2016,1_31_2017,2_28_2017,3_31_2017,4_30_2017,5_31_2017,6_30_2017,7_31_2017,8_31_2017,9_30_2017,10_31_2017,11_30_2017,12_31_2017,1_31_2018,2_28_2018,3_31_2018,4_30_2018,5_31_2018,6_30_2018,7_31_2018,8_31_2018,9_30_2018,10_31_2018,11_30_2018,12_31_2018,1_31_2019,2_28_2019,3_31_2019,4_30_2019,5_31_2019,6_30_2019,7_31_2019,8_31_2019,9_30_2019,10_31_2019,11_30_2019,12_31_2019,1_31_2020,2_29_2020,3_31_2020,4_30_2020,5_31_2020,6_30_2020,7_31_2020,8_31_2020,9_30_2020,10_31_2020,11_30_2020,12_31_2020,1_31_2021,2_28_2021
California,162732,162501,162352,162062,161865,161710,161614,161599,161625,161778,161957,162216,162233,162314,162481,162950,163513,164105,164831,165605,166472,167252,168157,169186,170620,172207,173726,175015,176180,177389,178482,179677,180982,182368,183650,184740,186026,187386,188810,190083,191404,192966,194632,196110,197436,198989,200871,202948,204966,206896,208882,211027,213372,215814,218327,221005,223766,226442,229107,231802,234385,237060,239848,242796,245437,247754,249800,251816,253878,256039,258162,260289,262452,264803,267227,269853,272665,275961,279699,283653,287531,291443,295599,299886,303994,307754,311528,315309,319216,322571,326288,330397,335203,339991,345144,350291,356232,362555,369265,376145,383860,392619,401202,409170,416732,424289,431390,438624,445299,452537,459601,467073,473624,479673,485871,492316,498997,505313,510451,515008,518810,521994,525011,527231,529729,531026,531439,531034,529501,527754,526232,524783,523308,521345,519135,516878,513453,509753,505244,500510,494889,488328,481726,474352,466973,457730,447259,435891,424703,414415,404116,394463,385668,377787,369011,360351,352340,347389,343037,339014,335386,332782,331493,330607,330028,330038,331544,333543,335024,334827,335606,336787,338514,338043,336749,335080,333764,332027,329652,327608,325878,324408,322184,319923,316812,314984,313535,312116,310423,308571,307836,306652,305912,305351,305528,306217,307759,309687,312015,314944,318339,322529,326393,331494,336537,342513,349126,356521,364094,371733,379225,386527,392977,398584,403722,408188,412720,416443,418627,419689,420304,421143,422464,423158,424424,425783,428259,430090,432017,434204,437493,440237,443109,445324,447498,450086,453056,456278,458805,462326,465437,468136,469820,472495,475061,477781,480106,483078,485813,488808,491345,493544,495981,498620,501788,504657,507945,511415,514422,517128,520138,523457,527456,531631,536002,540372,544112,547195,550222,553276,555809,556969,557137,557220,557351,556747,555920,554559,553730,554480,557083,560262,561880,562117,562187,562835,563769,565809,568825,572737,576716,580068,582013,583826,587595,593560,600506,607419,614392,621315,628079,635055
Texas,97631,97656,97684,97811,97948,98064,98152,98273,98427,98607,98823,99062,99086,99088,99078,99210,99303,99432,99565,99732,99910,100153,100381,100618,101091,101542,101988,102113,102323,102536,102845,103082,103306,103379,103416,103421,103640,104126,104792,105532,106215,106893,107539,108090,108543,109075,109659,110246,110628,110908,111079,111268,111309,111348,111350,111539,111786,112033,112327,112650,112877,112871,112709,112613,112700,112804,112929,112975,113081,113208,113298,113387,113491,113727,114066,114486,114910,115401,115882,116375,116792,117175,117573,117957,118234,118322,118313,118352,118480,118716,118938,119221,119460,119772,120050,120371,120949,121981,123333,124471,125319,125812,126407,126952,127617,128228,128811,129389,130011,130416,130668,130846,131105,131497,131826,132166,132451,132633,132937,133172,133536,133944,134396,134833,135348,135881,136424,136891,137397,138058,138624,139198,139597,139887,140092,140412,140776,141190,141486,141950,142397,142788,143057,143288,143090,142690,142136,141788,141399,141027,140740,140341,139843,139299,138715,138159,137859,137846,137913,137796,137639,137500,137467,137382,137328,137256,137468,137635,137726,137702,137715,137807,137833,137714,137247,136717,136185,135759,135247,134821,134413,133890,133320,132749,132287,131864,131680,131655,131750,131772,131646,131478,131451,131687,132032,132328,132646,132996,133424,133808,134100,134381,134832,135421,136111,136752,137506,138349,139213,140085,140977,141913,142946,144033,145113,146067,146932,147823,148615,149380,150179,151098,151974,152922,153868,154845,155816,156823,157844,158856,159941,161047,162078,163092,164088,165052,165938,166882,167741,168642,169583,170498,171384,172241,173272,174245,175302,176224,177208,178098,179210,180385,181445,182497,183419,184402,185234,186093,186863,187655,188507,189482,190449,191311,192097,192917,193914,195025,196132,197195,198141,199096,199839,200651,201346,202246,203271,204213,204867,205305,205920,206629,207373,208000,208583,208817,209073,209287,209897,210361,211063,211715,212551,213439,214495,215769,217313,219232,221361,223631,225752,228255
New York,138528,138215,138030,137750,137648,137583,137503,137421,137385,137403,137460,137564,137540,137818,138120,138488,138619,138786,139089,139389,139681,139900,140328,140787,141644,142140,142610,142710,142969,143233,143366,143778,144280,145056,145523,146012,146268,146793,147355,148220,149158,150163,151476,152542,153596,154355,155190,155946,156689,157740,158955,160313,161517,162694,163623,164468,165286,166249,167439,168686,169954,171000,172046,173074,174191,175312,176478,177698,178904,180215,181566,182986,184444,185841,187064,188315,189603,191030,192490,194042,195587,197091,198633,200305,201971,203737,205841,207824,209721,211403,213117,215025,217013,219057,220810,222450,224224,226003,227627,229318,231203,233357,235580,237663,239826,241897,244255,246467,248716,250976,253188,255562,257889,260134,262430,264779,267282,269766,272022,274335,276344,278220,279787,281187,282421,283721,284783,285653,286085,286354,286480,286650,286759,286910,287188,287305,287566,287550,287665,287711,287721,287974,288233,288214,288130,287709,287270,286576,285588,284522,283236,282047,280767,279176,277472,275887,274352,272938,271533,270257,269091,267876,266797,265815,265208,264939,264865,264827,264658,264612,264462,264640,264719,265101,265233,265013,264407,263495,262641,261712,261103,260514,260078,259218,258315,257128,256221,255562,255118,254792,254299,253903,253437,252859,252339,251977,251925,252003,252114,252292,252487,252622,252895,253254,253647,254239,254743,255494,256180,256994,257798,258499,259201,260032,260879,261628,262372,263091,263936,264549,265058,265431,265703,266048,266415,266868,267311,267903,268475,268932,269233,269638,270146,270811,271574,272319,273063,273638,274204,274603,275036,275775,276721,277705,278542,279205,279898,280702,281556,282546,283603,284912,286159,287121,287971,289003,290402,292060,293608,295015,296331,297711,299118,300376,301749,303231,304784,306261,307655,309071,310547,312025,313472,314644,315652,316551,317554,318571,319771,320814,321990,322917,323567,323887,323872,323727,323715,324108,324965,326033,327042,328210,329278,330643,332375,334552,337195,340259,343512,346770,349861,353068
Florida,100339,100435,100547,100756,100957,101186,101406,101604,101734,101868,102020,102210,102219,102285,102366,102670,102952,103200,103440,103694,103988,104251,104556,104863,105554,106133,106642,106738,106905,107015,107179,107427,107871,108401,108788,109088,109167,109369,109610,110054,110500,111128,111782,112370,112764,113109,113584,114105,114670,115237,115887,116590,117260,117879,118468,119068,119738,120449,121222,122027,122861,123732,124621,125529,126471,127428,128472,129550,130699,131862,133001,134109,135189,136227,137244,138280,139358,140479,141602,142790,143950,145174,146422,147856,149344,150915,152462,154020,155515,156916,158263,159606,161117,162797,164617,166374,168189,170028,171942,173819,175917,178265,180874,183723,186673,189682,192691,195931,199363,203028,206878,211014,215459,220274,225507,230831,236124,241103,245866,250392,254648,258448,262270,266058,269418,271945,273453,274339,274485,274289,273905,273043,272047,270789,269222,267091,264589,261656,258467,255185,252001,248796,245303,241725,237685,233559,229043,224744,220212,216045,211786,207493,203204,198824,194352,190069,186072,182459,178990,175486,172348,169446,167171,165118,163268,161757,160823,159973,159285,158529,158020,157542,157002,156199,155108,153820,152461,150977,149374,147873,146339,144916,143417,142075,140800,139798,138883,138260,137786,137543,137398,137286,137285,137334,137642,138118,138699,139378,140167,141066,142017,143052,144133,145384,146849,148503,150205,151940,153833,155721,157754,159842,161969,163860,165697,167375,168935,170254,171529,172608,173617,174475,175347,175983,176712,177700,178780,179870,180881,182022,183157,184290,185467,186722,187905,189252,190655,192054,193314,194688,196169,197732,199071,200414,201657,203065,204533,205927,207164,208308,209629,210905,212235,213429,214696,216085,217480,218851,220091,221461,222804,224154,225348,226555,227506,228632,229966,231419,232933,234256,235546,236633,237677,238626,239627,240675,241625,242233,242597,242971,243483,244288,245274,245918,246358,246789,247410,248015,248806,249941,251224,252550,253830,255100,256402,258191,260325,262677,265055,267604,270305,273094
Illinois,142085,141829,141505,141126,140603,140295,139862,140335,141055,142542,143757,144681,144995,144994,145131,145010,145158,144959,144703,142650,140091,136300,133308,131102,130245,130086,129994,129963,129914,129862,130169,131373,133096,135360,137296,138779,139465,139852,140249,140771,141214,141977,142796,143598,144138,144797,145596,146452,147480,148509,149543,150467,151369,152235,153045,153975,154977,156007,157064,158168,159229,160158,161105,162111,163254,164342,165344,166295,167321,168420,169532,170511,171424,172377,173498,174463,175479,176438,177628,178768,179857,180897,181826,182927,183998,185209,186258,187424,188394,189322,190193,191289,192557,193798,194980,196021,197253,198425,199639,200921,202307,203888,205342,206718,207855,209083,210475,212007,213353,214708,216043,217504,218955,220460,221986,223464,225132,226753,228239,229591,230837,232135,233213,234273,235145,235911,236466,237079,237495,237850,238050,238382,238859,239457,239308,239184,238358,238149,237335,237005,236182,235687,235014,234200,233357,231102,230383,227926,227256,224506,223296,220576,219005,216377,214240,211178,208068,205732,203150,201369,198910,197107,195652,194480,192893,191627,190471,190308,189730,189461,188075,187946,186789,186813,184610,183457,181632,180641,178704,177048,175396,174123,172948,171057,169749,167874,167419,166298,165724,163929,163014,161537,160753,159182,158808,158317,158309,157864,157236,156662,156138,156477,157022,157605,158284,159191,159819,160741,161360,162587,163728,165349,166775,168368,169190,170249,170869,171795,172197,172369,172798,173533,174298,174732,175273,175579,176160,176560,176937,177055,177567,178374,179158,179389,179666,179911,180252,180497,180794,181262,181864,182916,183812,184564,185077,185734,186519,187266,187903,188610,189476,190413,191421,192196,193117,193962,194773,195405,195955,196657,197432,198279,199057,199900,200742,201408,201796,202206,202788,203530,204038,204433,204792,205108,205442,205651,205868,206187,206576,207060,207608,208099,208405,208477,208167,207821,207574,207655,208231,208580,209128,209374,209797,210319,211215,212431,214075,215900,217807,219688,221372,223455
Pennsylvania,96345,96278,96211,96101,96002,95956,95921,95960,95987,96070,96171,96304,96403,96507,96668,96884,97150,97396,97666,97800,97962,98062,98255,98472,98777,99061,99283,99418,99532,99621,99714,99953,100238,100576,100752,100849,100913,101050,101238,101479,101704,101972,102247,102500,102765,103012,103337,103725,104164,104676,105174,105660,106139,106590,107032,107409,107805,108227,108725,109253,109774,110242,110738,111247,111704,112144,112589,113083,113572,114055,114611,115152,115732,116305,116933,117581,118219,118844,119495,120273,121068,121913,122648,123445,124257,125093,125913,126731,127637,128603,129537,130412,131307,132270,133184,134061,134889,136004,137107,138249,139387,140564,141886,143123,144447,145651,147024,148411,149913,151084,152287,153531,154885,156296,157716,159304,160831,162314,163688,165022,166204,167285,168272,169266,170262,171278,172103,172781,173297,173781,174153,174495,174906,175375,175885,176220,176520,176666,176968,177221,177421,177546,177694,177817,177761,177602,177248,176917,176451,175968,175268,174555,173914,173353,172715,171964,171177,170585,170107,169679,169227,168845,168602,168375,168236,168195,168354,168576,168885,169082,169272,169402,169457,169398,169119,168684,167999,167182,166258,165402,164597,163844,163106,162274,161462,160645,160019,159597,159380,159186,158941,158643,158308,157979,157689,157523,157455,157376,157260,157173,157110,157133,157188,157328,157519,157722,157936,158230,158556,158966,159392,159755,160094,160341,160646,160863,161103,161333,161530,161585,161606,161751,161988,162178,162287,162402,162551,162772,162946,163086,163375,163805,164343,164610,164775,164959,165292,165677,166021,166270,166674,167224,167584,167801,167878,168319,168800,169368,169801,170264,170794,171502,171996,172438,172857,173570,174341,175081,175798,176516,177303,178130,178872,179594,180432,181319,182558,183634,184728,185395,185996,186478,187023,187499,188088,188676,189409,190188,190769,191319,192080,192990,193814,194362,194785,195198,195581,196064,196632,197405,198286,199332,200192,201277,202598,204330,206263,208387,210667,213058,215502,217984
Ohio,92579,92691,92837,93143,93461,93753,94013,94303,94603,94906,95207,95519,95818,96119,96404,96695,96994,97326,97681,97987,98280,98549,98837,99140,99504,99907,100295,100620,100936,101273,101660,102053,102455,102899,103320,103669,103922,104194,104526,104872,105153,105412,105685,106011,106352,106703,107071,107527,108063,108593,109033,109491,110030,110613,111107,111551,111988,112413,112849,113267,113679,114049,114450,114840,115201,115505,115842,116201,116557,116897,117207,117496,117764,118036,118336,118631,118935,119231,119541,119824,120111,120416,120779,121155,121526,121889,122223,122580,122932,123330,123732,124201,124664,125115,125476,125831,126149,126513,126888,127251,127619,127954,128311,128596,128892,129175,129506,129834,130225,130610,130994,131334,131626,131926,132191,132497,132775,133071,133390,133693,133925,134067,134190,134313,134433,134511,134584,134607,134551,134482,134393,134298,134208,134165,133999,133769,133469,133209,132883,132565,132339,132090,131698,131300,130926,130538,130193,129767,129367,128903,128532,128116,127619,126982,126461,125834,125123,124269,123504,122930,122461,122018,121552,121114,120770,120589,120407,120312,120218,120300,120236,120166,119987,119778,119343,118837,118262,117685,117051,116377,115818,115239,114747,114098,113480,112902,112544,112260,111986,111664,111387,111166,110884,110580,110379,110280,110150,109956,109802,109759,109808,109863,109899,109963,110160,110445,110689,110959,111302,111752,112158,112551,112846,113243,113590,113882,113904,113863,113818,113886,114018,114223,114470,114618,114825,114971,115276,115659,116216,116812,117349,117799,118263,118701,119138,119555,119956,120345,120710,121041,121451,121850,122367,122840,123273,123690,124151,124692,125261,125847,126486,127189,127936,128639,129281,129937,130591,131274,131882,132635,133429,134313,135072,135782,136279,136925,137646,138623,139556,140401,141200,141809,142353,142862,143504,144221,145047,145858,146626,147170,147818,148513,149298,149903,150551,151109,151491,151999,152693,153569,154360,155200,156118,157133,158215,159608,161103,162790,164710,166639,168564,170492
Michigan,91732,92059,92372,93046,93712,94391,95006,95577,96101,96622,97194,97820,98477,99079,99708,100264,100852,101359,101957,102629,103371,104112,104774,105347,105933,106549,107158,107728,108286,108914,109557,110176,110806,111452,112096,112759,113285,113951,114587,115379,116116,116956,117759,118574,119339,120093,120850,121616,122510,123303,124152,124922,125784,126586,127472,128290,129057,129774,130575,131404,132142,132785,133394,134014,134645,135200,135736,136289,136917,137507,138027,138498,139026,139570,140137,140607,140965,141320,141619,141970,142256,142596,142949,143322,143664,144068,144343,144736,145192,145750,146268,146741,147252,147790,148282,148753,149191,149601,150087,150492,150902,151287,151746,152168,152542,152912,153285,153656,154043,154356,154708,155051,155455,155735,155949,156170,156447,156669,156847,156988,157123,157251,157280,157203,156995,156683,156410,156016,155624,155067,154487,153759,153003,152309,151635,151010,150140,149339,148311,147568,146442,145282,143932,142903,141918,140727,139257,137453,135722,133970,132232,130206,128403,126926,125522,123728,121487,119372,117341,115614,113924,112320,111078,109956,109065,107967,107132,106421,106163,105788,105568,105432,105454,105484,105073,104512,103688,102959,102148,101509,100788,100243,99551,98846,98101,97401,96912,96713,96743,96804,96811,96822,96871,96896,97179,97511,98001,98515,99187,99820,100422,101165,101997,102782,103589,104618,105804,107052,108251,109469,110784,112186,113670,114993,116240,117517,118816,119936,120784,121515,122283,123135,123861,124431,124868,125360,125924,126440,126972,127545,128286,128943,129476,129946,130469,131098,131614,132131,132736,133549,134308,135013,135511,136288,137115,138051,138981,139866,140956,142045,143038,143904,144761,145686,146765,147830,148998,149995,150843,151710,152589,153543,154562,155559,156783,158028,159231,160309,161395,162660,163824,164837,165603,166311,166949,167786,168514,169265,169772,170370,171391,172661,173758,174212,174514,174770,175236,175649,176447,177264,178348,179366,180112,180710,181631,183244,185209,187354,189494,191730,193828,196088
Georgia,104044,104204,104368,104723,105080,105458,105811,106165,106513,106890,107285,107711,108056,108452,108876,109385,109862,110293,110762,111277,111842,112384,112910,113444,114192,114873,115482,115862,116358,116920,117524,118112,118680,119271,119890,120473,120949,121458,122065,122806,123514,124239,124994,125694,126405,127094,127799,128475,129116,129870,130680,131580,132420,133252,134054,134909,135765,136652,137545,138523,139523,140358,141091,141725,142442,143116,143794,144462,145108,145722,146295,146838,147341,147883,148385,148903,149379,149869,150317,150697,151083,151481,151878,152203,152555,152905,153317,153637,153919,154177,154466,154801,155126,155428,155748,156144,156544,156968,157375,157839,158278,158678,159086,159551,160052,160591,161091,161551,161958,162351,162775,163289,163906,164573,165179,165730,166312,166892,167539,168105,168751,169352,169918,170357,170750,171206,171735,172255,172714,173127,173520,173979,174427,174854,175263,175594,175809,175856,175788,175658,175376,175049,174654,174321,173701,172902,171874,171019,170182,169269,168176,166949,165772,164465,162871,160903,159077,157370,155786,153895,152045,150357,149102,148036,147075,146054,145274,144718,144140,143503,142895,142648,142463,142085,141126,139852,138296,136953,135534,134379,133133,132109,130785,129322,127642,126160,125039,124384,124104,123848,123542,122876,122379,121870,121944,122133,122541,122970,123489,123821,123986,124204,124808,125654,126721,127830,128915,129933,131043,132255,133483,134854,136301,137773,139014,140309,141408,142497,143374,144256,145021,145728,146495,147213,147982,148687,149417,150080,150728,151343,151944,152638,153485,154400,155182,155945,156677,157375,158063,158732,159583,160416,161397,162356,163245,163960,164594,165239,165778,166508,167311,168294,169106,169995,170873,171795,172719,173787,174989,176168,177554,178853,180257,181594,183038,184424,185631,186853,188159,189550,190897,192164,193350,194512,195630,196642,197570,198392,199424,200440,201519,202358,203186,204043,204862,205553,205936,206378,207038,208047,209051,210062,211063,212288,213632,215126,216779,218701,221020,223526,226068,228599
North Carolina,111252,111468,111662,112063,112460,112908,113384,113849,114258,114741,115278,115854,116414,116966,117569,118138,118667,119105,119495,119977,120554,121008,121388,121727,122169,122548,122888,123231,123720,124265,124832,125281,125703,126185,126643,127080,127387,127786,128170,128646,129008,129364,129737,130108,130506,130857,131285,131738,132195,132740,133293,133892,134440,134979,135472,135933,136381,136849,137398,137957,138556,138969,139345,139643,139981,140303,140575,140913,141237,141590,141817,142010,142171,142369,142595,142780,143013,143227,143504,143717,143931,144122,144333,144547,144781,145023,145285,145521,145764,145963,146190,146457,146735,146993,147255,147572,147963,148353,148728,149089,149416,149784,150123,150474,150878,151326,151847,152365,152797,153307,153774,154383,154973,155688,156443,157236,158013,158848,159669,160492,161294,162089,162915,163732,164604,165433,166310,167171,168026,168801,169500,170183,170910,171544,172194,172809,173472,174121,174669,175164,175529,175801,176065,176287,176458,176477,176409,176254,176017,175638,175177,174743,174272,173757,173052,172277,171447,170854,170256,169532,168631,167774,167091,166349,165724,165207,164901,164560,164248,163777,163370,163129,162994,162760,162239,161652,160977,160350,159669,159047,158345,157650,156836,155884,155028,154351,153857,153341,152926,152391,151888,151394,151035,150766,150580,150599,150519,150384,150254,150311,150368,150477,150603,150721,150880,151040,151373,151722,152199,152707,153234,153757,154231,154770,155235,155814,156293,156791,157098,157350,157563,157751,157911,157991,158183,158408,158802,159190,159681,160172,160799,161334,161803,162242,162807,163463,164026,164527,164938,165313,165736,166250,166729,167340,168082,169004,169890,170724,171600,172460,173373,174312,175201,176017,176920,177894,178837,179648,180362,181171,182052,183131,184157,185231,186307,187458,188532,189475,190483,191560,192764,193874,194912,195752,196698,197633,198644,199470,200279,201182,202082,203048,203917,204771,205606,206495,207381,208193,208842,209650,210568,211695,212888,214138,215560,217180,218997,221002,223150,225550,228263,231166
